Title,Price
"Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM) ",984.86
"Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM) ","1,179.00"
"Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM) ",977.96
"Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM) ",957.96
"2021 Apple MacBook Pro (14&quot;, Apple M1 Pro Chip mit 8‑Core CPU und 14‑Core GPU, 16 GB RAM, 512 GB SSD) - Space Grau ","2,229.00"
"Apple MacBook Pro with Apple M1 Chip (13 inch, 8GB RAM) ","1,227.96"
"Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM) ","1,185.96"
"Apple MacBook Pro with Apple M1 Chip (13 inch, 8GB RAM) ","1,449.00"
"Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM) ","1,180.33"
"2021 Apple MacBook Pro (14&quot;, Apple M1 Pro Chip mit 8‑Core CPU und 14‑Core GPU, 16 GB RAM, 512 GB SSD) - Silber ","2,249.00"
"Apple MacBook Pro with Apple M1 Chip (13 inch, 8GB RAM) ","1,222.59"
"2021 Apple MacBook Pro (16&quot;, Apple M1 Pro Chip mit 10‑Core CPU und 16‑Core GPU, 16 GB RAM, 512 GB SSD) - Space Grau ","2,749.00"
"Apple MacBook Pro with Apple M1 Chip (13 inch, 8GB RAM) ","1,434.00"
"New Apple MacBook Pro (16&quot;, 16GB RAM, 512GB memory) - Space Grey ","2,299.00"
"2021 Apple MacBook Pro (16&quot;, Apple M1 Pro Chip mit 10‑Core CPU und 16‑Core GPU, 16 GB RAM, 1 TB SSD) - Space Grau ","2,979.00"
"2021 Apple MacBook Pro (16&quot;, Apple M1 Pro Chip mit 10‑Core CPU und 16‑Core GPU, 16 GB RAM, 512 GB SSD) - Silber ","2,749.00"
"2021 Apple MacBook Pro (14&quot;, Apple M1 Pro Chip mit 10‑Core CPU und 16‑Core GPU, 16 GB RAM, 1 TB SSD) - Silber ","2,749.00"
"2021 Apple MacBook Pro (16&quot;, Apple M1 Max Chip mit 10‑Core CPU und 32‑Core GPU, 32 GB RAM, 1 TB SSD) - Space Grau ","3,849.00"
"2021 Apple MacBook Pro (16&quot;, Apple M1 Pro Chip mit 10‑Core CPU und 16‑Core GPU, 16 GB RAM, 1 TB SSD) - Silber ","2,979.00"
"New Apple MacBook Pro (16&quot;, 16GB RAM, 1TB storage) – Space Grey ","2,699.00"
"Apple MacBook Pro 13., Space grey ","1,999.00"
"2019 Apple MacBook Pro (16 inch, 16 GB RAM, 1 TB storage space) - Silver ","2,699.00"
"2020 Apple iMac (21.5 inches, 8 GB RAM, 256 GB SSD bearing) ","1,086.96"
